index,WindDir,WaveDir,SwellDir,WindKnot,GustKnot,WavesHeight,SwellHeight,SwellPeriod,WindWaveHeight,WindWavePeriod,MaxWaveHeight,Temperature,Rain,Wind50,Wind100,Gust50,Gust100,Visibility,TidalHeight,CurrentSpeed,CurrentDir
2022-12-13 08:00:00,36,60,112,11.1,16.6,2.1,0.9,11.8,1.9,7.3,3.7,16°,-,13.5,14.6,20.1,21.9,24.6,-0.8,0.9,228
2022-12-13 11:00:00,37,62,89,8.6,14.1,1.8,1.2,9.3,1.3,6.0,3.2,16°,-,10.4,11.3,17.1,18.6,25.3,-0.7,0.2,4
2022-12-13 14:00:00,39,65,71,6.1,11.6,1.6,1.4,7.7,0.8,4.7,2.8,18°,-,7.4,8.0,14.1,15.3,26.1,-0.0,0.1,12
2022-12-13 17:00:00,80,69,55,7.1,9.1,1.5,1.1,8.4,1.0,5.3,2.6,18°,-,8.6,9.4,11.0,12.0,23.9,0.6,0.9,243
2022-12-13 20:00:00,61,68,116,11.1,13.6,1.8,0.4,13.1,1.8,7.1,3.2,18°,-,13.5,14.6,16.5,17.9,21.7,0.3,0.9,236
2022-12-13 23:00:00,48,64,113,11.1,15.1,2.0,0.6,12.8,1.9,7.3,3.5,17°,-,13.5,14.6,18.3,19.9,23.7,0.2,0.1,328
2022-12-14 02:00:00,33,61,113,10.6,15.1,2.0,1.0,13.3,1.7,6.9,3.5,17°,-,12.9,14.0,18.3,19.9,25.6,0.3,0.1,118
2022-12-14 05:00:00,25,62,74,8.1,13.6,1.9,1.5,7.8,1.2,5.8,3.3,17°,-,9.8,10.7,16.5,17.9,24.6,0.1,0.9,229
2022-12-14 08:00:00,32,62,86,9.1,11.6,2.0,1.3,9.2,1.5,6.5,3.5,16°,-,11.0,12.0,14.1,15.3,23.7,-0.6,0.8,223
2022-12-14 14:00:00,50,63,140,11.1,14.1,2.2,0.1,6.8,2.2,7.9,3.9,17°,0.2,13.5,14.6,17.1,18.6,26.1,-0.1,0.4,27
2022-12-14 20:00:00,53,63,53,15.6,20.6,3.0,0.1,0.0,3.0,9.2,5.2,15°,-,18.9,20.6,25.0,27.2,27.1,0.4,1.0,236
2022-12-15 02:00:00,44,60,44,13.1,20.6,2.5,0.1,0.0,2.5,8.4,4.4,13°,-,15.9,17.3,25.0,27.2,27.1,0.2,0.1,121
2022-12-15 08:00:00,41,60,158,11.6,17.6,2.1,0.2,4.3,2.1,7.7,3.7,13°,-,14.1,15.3,21.3,23.2,27.7,-0.4,1.3,228
2022-12-15 14:00:00,54,65,119,9.1,15.1,1.7,0.4,9.4,1.7,6.9,3.0,15°,-,11.0,12.0,18.3,19.9,24.1,-0.2,0.1,257
2022-12-15 20:00:00,62,68,62,10.6,13.6,1.7,0.1,0.0,1.7,6.9,3.0,16°,-,12.9,14.0,16.5,17.9,24.3,0.5,1.5,231
2022-12-16 02:00:00,44,61,44,10.6,14.1,1.8,0.1,0.0,1.8,7.1,3.2,15°,-,12.9,14.0,17.1,18.6,24.3,0.1,0.4,225
2022-12-16 08:00:00,41,60,155,10.1,14.6,1.8,0.7,6.3,1.7,6.9,3.2,15°,-,12.3,13.3,17.7,19.2,26.3,-0.1,1.4,229
2022-12-16 14:00:00,53,62,53,12.1,16.1,2.2,0.1,0.0,2.2,7.9,3.9,16°,-,14.7,16.0,19.5,21.2,10.6,-0.3,0.2,280
2022-12-16 20:00:00,56,64,56,13.1,17.1,2.4,0.1,0.0,2.4,8.2,4.2,16°,-,15.9,17.3,20.7,22.5,22.8,0.5,1.3,234
2022-12-17 02:00:00,41,59,158,12.6,17.6,2.3,0.2,4.1,2.3,8.0,4.0,14°,-,15.3,16.6,21.3,23.2,27.6,-0.0,0.2,245
2022-12-17 08:00:00,43,57,43,13.1,18.1,2.3,0.1,0.1,2.3,8.0,4.0,14°,-,15.9,17.3,22.0,23.9,27.6,0.0,0.8,231
2022-12-17 14:00:00,49,60,50,12.1,17.1,2.1,0.1,0.1,2.1,7.7,3.7,16°,-,14.7,16.0,20.7,22.5,-,-0.3,0.8,231
2022-12-17 20:00:00,50,60,118,13.1,17.6,2.4,0.5,12.9,2.3,8.0,4.2,17°,-,15.9,17.3,21.3,23.2,-,0.5,0.8,231
